DATE,TATASTEEL
13-05-2013,305.6
14-05-2013,303.9
15-05-2013,308.3
16-05-2013,311.8
17-05-2013,311.85
20-05-2013,315.35
21-05-2013,308.6
22-05-2013,305.95
23-05-2013,299.55
24-05-2013,313
27-05-2013,317.15
28-05-2013,321.8
29-05-2013,314.55
30-05-2013,301.65
31-05-2013,291.75
02-06-2013,397.45
03-06-2013,352.75
05-06-2013,322.55
06-06-2013,295.3
08-06-2013,198.25
09-06-2013,292.15
11-06-2013,333.3
12-06-2013,422.7
13-06-2013,266.15
14-06-2013,274.15
17-06-2013,277.05
18-06-2013,285.1
19-06-2013,291.1
20-06-2013,272.55
21-06-2013,272.05
24-06-2013,266.65
25-06-2013,266.45
26-06-2013,264.6
27-06-2013,264.15
28-06-2013,273.75
01-07-2013,440.9
02-07-2013,390.4
03-07-2013,350.55
05-07-2013,324.7
06-07-2013,292.05
08-07-2013,207.95
10-07-2013,300.4
11-07-2013,345.8
15-07-2013,257.45
16-07-2013,251.6
17-07-2013,243.2
18-07-2013,244.7
19-07-2013,241
22-07-2013,233.8
23-07-2013,234.6
24-07-2013,229.6
25-07-2013,222.85
26-07-2013,218.9
29-07-2013,215.4
30-07-2013,209.4
31-07-2013,215.7
01-08-2013,433.35
02-08-2013,387.45
03-08-2013,359.15
04-08-2013,305.9
05-08-2013,318.65
07-08-2013,259.9
08-08-2013,218.8
10-08-2013,296.8
11-08-2013,355.75
13-08-2013,241.4
14-08-2013,250.1
16-08-2013,235.35
19-08-2013,246.85
20-08-2013,257
21-08-2013,248.15
22-08-2013,274.1
23-08-2013,282.3
26-08-2013,277.15
27-08-2013,272.3
28-08-2013,279
29-08-2013,278.35
30-08-2013,274
01-09-2013,422.3
04-09-2013,304.4
05-09-2013,316.1
07-09-2013,261.65
10-09-2013,303.25
12-09-2013,420.95
13-09-2013,298.3
16-09-2013,291.6
17-09-2013,288.2
18-09-2013,290.2
19-09-2013,310.6
20-09-2013,300
23-09-2013,293.5
24-09-2013,292.55
25-09-2013,291.1
26-09-2013,299.9
27-09-2013,287.4
30-09-2013,271.55
01-10-2013,420.5
04-10-2013,305.25
05-10-2013,318.5
06-10-2013,290.6
07-10-2013,256.2
09-10-2013,300.6
10-10-2013,308.6
12-10-2013,423.3
14-10-2013,301.6
15-10-2013,310.5
17-10-2013,310.1
18-10-2013,328.9
21-10-2013,336.1
22-10-2013,339.95
23-10-2013,335.2
24-10-2013,332.15
25-10-2013,321.85
28-10-2013,312.3
29-10-2013,325.85
30-10-2013,326.6
31-10-2013,334.9
01-11-2013,417.3
02-11-2013,384.8
03-11-2013,359.35
04-11-2013,298.5
05-11-2013,318.7
06-11-2013,281.2
07-11-2013,261.05
